           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.0, build: 4ab6d2ee
Access web UI at http://localhost:6333/dashboard

2026-08-13T12:45:51.736367Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6283 "-" "python-client/1.16.1 python/3.9.1" 0.002255
2026-08-13T12:46:09.146188Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6459 "-" "python-client/1.16.1 python/3.9.1" 0.002481
2026-08-13T12:46:30.381721Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6067 "-" "python-client/1.16.1 python/3.9.1" 0.002181
2026-08-13T12:46:48.020124Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5862 "-" "python-client/1.16.1 python/3.9.1" 0.002242
2026-08-13T12:47:18.535550Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6592 "-" "python-client/1.16.1 python/3.9.1" 0.002071
2026-08-13T12:52:22.071304Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6283 "-" "python-client/1.16.1 python/3.9.1" 0.002413
2026-08-13T12:52:40.920295Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6459 "-" "python-client/1.16.1 python/3.9.1" 0.002427
2026-08-13T12:52:56.247611Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6067 "-" "python-client/1.16.1 python/3.9.1" 0.002190
2026-08-13T12:53:08.362645Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5862 "-" "python-client/1.16.1 python/3.9.1" 0.003187
2026-08-13T12:53:39.303891Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6592 "-" "python-client/1.16.1 python/3.9.1" 0.002110
2026-08-13T12:54:55.049192Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6283 "-" "python-client/1.16.1 python/3.9.1" 0.003730
2026-08-13T12:55:30.823164Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6458 "-" "python-client/1.16.1 python/3.9.1" 0.002189
2026-08-13T12:56:03.954425Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6067 "-" "python-client/1.16.1 python/3.9.1" 0.002529
2026-08-13T12:56:31.997094Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5862 "-" "python-client/1.16.1 python/3.9.1" 0.003619
